"","T_BIOME","WP","MP","PP","NP","Total","EPLI"
"1","Total",118,64,159,122,463,0.461483081353492
"2","Succulent Karoo",12,9,14,29,64,0.354166666666667
"3","Savanna",26,19,32,17,94,0.524822695035461
"4","Nama-Karoo",1,3,3,6,13,0.307692307692308
"5","Indian Ocean Coastal Belt",0,2,2,2,6,0.333333333333333
"6","Grassland",12,2,36,23,73,0.34703196347032
"7","Fynbos",38,14,49,25,126,0.505291005291005
"8","Forests",9,1,0,0,10,0.966666666666667
"9","Desert",7,0,2,6,15,0.511111111111111
"10","Azonal Vegetation",5,2,7,4,18,0.481481481481481
"11","Albany Thicket",8,12,14,10,44,0.46969696969697
